Datum,Bana,Spelare,Hål,Resultat,Par,Disc_Used
2026-02-01,Kungsbackaskogens Discgolfbana,Mattias,1,4,3,Unknown
2026-02-01,Kungsbackaskogens Discgolfbana,Mattias,2,4,3,Unknown
2026-02-01,Kungsbackaskogens Discgolfbana,Mattias,3,3,3,Unknown
2026-02-01,Kungsbackaskogens Discgolfbana,Mattias,4,4,3,Unknown
2026-02-01,Kungsbackaskogens Discgolfbana,Mattias,5,5,3,Unknown
2026-02-01,Kungsbackaskogens Discgolfbana,Mattias,6,5,3,Unknown
2026-02-01,Kungsbackaskogens Discgolfbana,Mattias,7,4,3,Unknown
2026-02-01,Kungsbackaskogens Discgolfbana,Mattias,8,4,3,Unknown
2026-02-01,Kungsbackaskogens Discgolfbana,Mattias,9,4,3,Unknown
2026-02-01,Kungsbackaskogens Discgolfbana,Jenny,1,4,3,Unknown
2026-02-01,Kungsbackaskogens Discgolfbana,Jenny,2,4,3,Unknown
2026-02-01,Kungsbackaskogens Discgolfbana,Jenny,3,4,3,Unknown
2026-02-01,Kungsbackaskogens Discgolfbana,Jenny,4,4,3,Unknown
2026-02-01,Kungsbackaskogens Discgolfbana,Jenny,5,4,3,Unknown
2026-02-01,Kungsbackaskogens Discgolfbana,Jenny,6,5,3,Unknown
2026-02-01,Kungsbackaskogens Discgolfbana,Jenny,7,6,3,Unknown
2026-02-01,Kungsbackaskogens Discgolfbana,Jenny,8,6,3,Unknown
2026-02-01,Kungsbackaskogens Discgolfbana,Jenny,9,5,3,Unknown
2026-01-17,Åbyvallens Discgolfbana,Mattias,1,3,3,Unknown
2026-01-17,Åbyvallens Discgolfbana,Mattias,2,4,3,Unknown
2026-01-17,Åbyvallens Discgolfbana,Mattias,3,4,3,Unknown
2026-01-17,Åbyvallens Discgolfbana,Mattias,4,4,3,Unknown
2026-01-17,Åbyvallens Discgolfbana,Mattias,5,3,3,Unknown
2026-01-17,Åbyvallens Discgolfbana,Mattias,6,4,3,Unknown
2026-01-17,Åbyvallens Discgolfbana,Mattias,7,5,3,Unknown
2026-01-17,Åbyvallens Discgolfbana,Mattias,8,5,3,Unknown
2026-01-17,Åbyvallens Discgolfbana,Jenny,1,5,3,Unknown
2026-01-17,Åbyvallens Discgolfbana,Jenny,2,5,3,Unknown
2026-01-17,Åbyvallens Discgolfbana,Jenny,3,4,3,Unknown
2026-01-17,Åbyvallens Discgolfbana,Jenny,4,4,3,Unknown
2026-01-17,Åbyvallens Discgolfbana,Jenny,5,5,3,Unknown
2026-01-17,Åbyvallens Discgolfbana,Jenny,6,5,3,Unknown
2026-01-17,Åbyvallens Discgolfbana,Jenny,7,5,3,Unknown
2026-01-17,Åbyvallens Discgolfbana,Jenny,8,6,3,Unknown
2026-01-05,Åbyvallens Discgolfbana,Mattias,1,4,3,Unknown
2026-01-05,Åbyvallens Discgolfbana,Mattias,2,4,3,Unknown
2026-01-05,Åbyvallens Discgolfbana,Mattias,3,4,3,Unknown
2026-01-05,Åbyvallens Discgolfbana,Mattias,4,3,3,Unknown
2026-01-05,Åbyvallens Discgolfbana,Mattias,5,3,3,Unknown
2026-01-05,Åbyvallens Discgolfbana,Mattias,6,4,3,Unknown
2026-01-05,Åbyvallens Discgolfbana,Mattias,7,6,3,Unknown
2026-01-05,Åbyvallens Discgolfbana,Mattias,8,5,3,Unknown
2026-01-05,Åbyvallens Discgolfbana,Jenny,1,4,3,Unknown
2026-01-05,Åbyvallens Discgolfbana,Jenny,2,4,3,Unknown
2026-01-05,Åbyvallens Discgolfbana,Jenny,3,5,3,Unknown
2026-01-05,Åbyvallens Discgolfbana,Jenny,4,4,3,Unknown
2026-01-05,Åbyvallens Discgolfbana,Jenny,5,4,3,Unknown
2026-01-05,Åbyvallens Discgolfbana,Jenny,6,5,3,Unknown
2026-01-05,Åbyvallens Discgolfbana,Jenny,7,5,3,Unknown
2026-01-05,Åbyvallens Discgolfbana,Jenny,8,5,3,Unknown
2025-12-29,Åbyvallens Discgolfbana,Mattias,1,4,3,Unknown
2025-12-29,Åbyvallens Discgolfbana,Mattias,2,3,3,Unknown
2025-12-29,Åbyvallens Discgolfbana,Mattias,3,3,3,Unknown
2025-12-29,Åbyvallens Discgolfbana,Mattias,4,3,3,Unknown
2025-12-29,Åbyvallens Discgolfbana,Mattias,5,4,3,Unknown
2025-12-29,Åbyvallens Discgolfbana,Mattias,6,4,3,Unknown
2025-12-29,Åbyvallens Discgolfbana,Mattias,7,4,3,Unknown
2025-12-29,Åbyvallens Discgolfbana,Mattias,8,4,3,Unknown
2025-12-29,Åbyvallens Discgolfbana,Jenny,1,5,3,Unknown
2025-12-29,Åbyvallens Discgolfbana,Jenny,2,4,3,Unknown
2025-12-29,Åbyvallens Discgolfbana,Jenny,3,5,3,Unknown
2025-12-29,Åbyvallens Discgolfbana,Jenny,4,6,3,Unknown
2025-12-29,Åbyvallens Discgolfbana,Jenny,5,3,3,Unknown
2025-12-29,Åbyvallens Discgolfbana,Jenny,6,4,3,Unknown
2025-12-29,Åbyvallens Discgolfbana,Jenny,7,4,3,Unknown
2025-12-29,Åbyvallens Discgolfbana,Jenny,8,6,3,Unknown
2025-12-28,Lygnevi Discgolf,Mattias,1,4,3,Unknown
2025-12-28,Lygnevi Discgolf,Mattias,2,4,3,Unknown
2025-12-28,Lygnevi Discgolf,Mattias,3,5,3,Unknown
2025-12-28,Lygnevi Discgolf,Mattias,4,6,3,Unknown
2025-12-28,Lygnevi Discgolf,Mattias,5,3,3,Unknown
2025-12-28,Lygnevi Discgolf,Mattias,6,4,3,Unknown
2025-12-28,Lygnevi Discgolf,Mattias,7,5,3,Unknown
2025-12-28,Lygnevi Discgolf,Mattias,8,5,3,Unknown
2025-12-28,Lygnevi Discgolf,Mattias,9,4,3,Unknown
2025-12-28,Lygnevi Discgolf,Jenny,1,5,3,Unknown
2025-12-28,Lygnevi Discgolf,Jenny,2,4,3,Unknown
2025-12-28,Lygnevi Discgolf,Jenny,3,5,3,Unknown
2025-12-28,Lygnevi Discgolf,Jenny,4,8,3,Unknown
2025-12-28,Lygnevi Discgolf,Jenny,5,4,3,Unknown
2025-12-28,Lygnevi Discgolf,Jenny,6,4,3,Unknown
2025-12-28,Lygnevi Discgolf,Jenny,7,5,3,Unknown
2025-12-28,Lygnevi Discgolf,Jenny,8,5,3,Unknown
2025-12-28,Lygnevi Discgolf,Jenny,9,6,3,Unknown
2025-12-26,Kungsbackaskogens Discgolfbana,Mattias,1,4,3,Unknown
2025-12-26,Kungsbackaskogens Discgolfbana,Mattias,2,5,3,Unknown
2025-12-26,Kungsbackaskogens Discgolfbana,Mattias,3,3,3,Unknown
2025-12-26,Kungsbackaskogens Discgolfbana,Mattias,4,4,3,Unknown
2025-12-26,Kungsbackaskogens Discgolfbana,Mattias,5,3,3,Unknown
2025-12-26,Kungsbackaskogens Discgolfbana,Mattias,6,5,3,Unknown
2025-12-26,Kungsbackaskogens Discgolfbana,Mattias,7,4,3,Unknown
2025-12-26,Kungsbackaskogens Discgolfbana,Mattias,8,4,3,Unknown
2025-12-26,Kungsbackaskogens Discgolfbana,Mattias,9,4,3,Unknown
2025-12-26,Kungsbackaskogens Discgolfbana,Jenny,1,4,3,Unknown
2025-12-26,Kungsbackaskogens Discgolfbana,Jenny,2,5,3,Unknown
2025-12-26,Kungsbackaskogens Discgolfbana,Jenny,3,4,3,Unknown
2025-12-26,Kungsbackaskogens Discgolfbana,Jenny,4,5,3,Unknown
2025-12-26,Kungsbackaskogens Discgolfbana,Jenny,5,4,3,Unknown
2025-12-26,Kungsbackaskogens Discgolfbana,Jenny,6,6,3,Unknown
2025-12-26,Kungsbackaskogens Discgolfbana,Jenny,7,5,3,Unknown
2025-12-26,Kungsbackaskogens Discgolfbana,Jenny,8,5,3,Unknown
2025-12-26,Kungsbackaskogens Discgolfbana,Jenny,9,4,3,Unknown
2025-12-26,Kungsbackaskogens Discgolfbana,Isabella Dreyer,1,4,3,Unknown
2025-12-26,Kungsbackaskogens Discgolfbana,Isabella Dreyer,2,3,3,Unknown
2025-12-26,Kungsbackaskogens Discgolfbana,Isabella Dreyer,3,4,3,Unknown
2025-12-26,Kungsbackaskogens Discgolfbana,Isabella Dreyer,4,4,3,Unknown
2025-12-26,Kungsbackaskogens Discgolfbana,Isabella Dreyer,5,4,3,Unknown
2025-12-26,Kungsbackaskogens Discgolfbana,Isabella Dreyer,6,5,3,Unknown
2025-12-26,Kungsbackaskogens Discgolfbana,Isabella Dreyer,7,4,3,Unknown
2025-12-26,Kungsbackaskogens Discgolfbana,Isabella Dreyer,8,5,3,Unknown
2025-12-26,Kungsbackaskogens Discgolfbana,Isabella Dreyer,9,4,3,Unknown
2025-12-26,Kungsbackaskogens Discgolfbana,Pellam,1,4,3,Unknown
2025-12-26,Kungsbackaskogens Discgolfbana,Pellam,2,6,3,Unknown
2025-12-26,Kungsbackaskogens Discgolfbana,Pellam,3,6,3,Unknown
2025-12-26,Kungsbackaskogens Discgolfbana,Pellam,4,7,3,Unknown
2025-12-26,Kungsbackaskogens Discgolfbana,Pellam,5,6,3,Unknown
2025-12-26,Kungsbackaskogens Discgolfbana,Pellam,6,8,3,Unknown
2025-12-26,Kungsbackaskogens Discgolfbana,Pellam,7,6,3,Unknown
2025-12-26,Kungsbackaskogens Discgolfbana,Pellam,8,8,3,Unknown
2025-12-26,Kungsbackaskogens Discgolfbana,Pellam,9,6,3,Unknown
2025-12-26,Kungsbackaskogens Discgolfbana,Jonte,1,4,3,Unknown
2025-12-26,Kungsbackaskogens Discgolfbana,Jonte,2,4,3,Unknown
2025-12-26,Kungsbackaskogens Discgolfbana,Jonte,3,4,3,Unknown
2025-12-26,Kungsbackaskogens Discgolfbana,Jonte,4,5,3,Unknown
2025-12-26,Kungsbackaskogens Discgolfbana,Jonte,5,4,3,Unknown
2025-12-26,Kungsbackaskogens Discgolfbana,Jonte,6,5,3,Unknown
2025-12-26,Kungsbackaskogens Discgolfbana,Jonte,7,5,3,Unknown
2025-12-26,Kungsbackaskogens Discgolfbana,Jonte,8,5,3,Unknown
2025-12-26,Kungsbackaskogens Discgolfbana,Jonte,9,4,3,Unknown
2025-12-23,Kungsbackaskogens Discgolfbana,Mattias,1,4,3,Unknown
2025-12-23,Kungsbackaskogens Discgolfbana,Mattias,2,4,3,Unknown
2025-12-23,Kungsbackaskogens Discgolfbana,Mattias,3,5,3,Unknown
2025-12-23,Kungsbackaskogens Discgolfbana,Mattias,4,4,3,Unknown
2025-12-23,Kungsbackaskogens Discgolfbana,Mattias,5,4,3,Unknown
2025-12-23,Kungsbackaskogens Discgolfbana,Mattias,6,4,3,Unknown
2025-12-23,Kungsbackaskogens Discgolfbana,Mattias,7,5,3,Unknown
2025-12-23,Kungsbackaskogens Discgolfbana,Mattias,8,5,3,Unknown
2025-12-23,Kungsbackaskogens Discgolfbana,Mattias,9,4,3,Unknown
2025-12-23,Kungsbackaskogens Discgolfbana,Jenny,1,5,3,Unknown
2025-12-23,Kungsbackaskogens Discgolfbana,Jenny,2,4,3,Unknown
2025-12-23,Kungsbackaskogens Discgolfbana,Jenny,3,6,3,Unknown
2025-12-23,Kungsbackaskogens Discgolfbana,Jenny,4,8,3,Unknown
2025-12-23,Kungsbackaskogens Discgolfbana,Jenny,5,4,3,Unknown
2025-12-23,Kungsbackaskogens Discgolfbana,Jenny,6,6,3,Unknown
2025-12-23,Kungsbackaskogens Discgolfbana,Jenny,7,7,3,Unknown
2025-12-23,Kungsbackaskogens Discgolfbana,Jenny,8,6,3,Unknown
2025-12-23,Kungsbackaskogens Discgolfbana,Jenny,9,4,3,Unknown
2025-12-23,Kungsbackaskogens Discgolfbana,Isabella Dreyer,1,5,3,Unknown
2025-12-23,Kungsbackaskogens Discgolfbana,Isabella Dreyer,2,4,3,Unknown
2025-12-23,Kungsbackaskogens Discgolfbana,Isabella Dreyer,3,5,3,Unknown
2025-12-23,Kungsbackaskogens Discgolfbana,Isabella Dreyer,4,4,3,Unknown
2025-12-23,Kungsbackaskogens Discgolfbana,Isabella Dreyer,5,4,3,Unknown
2025-12-23,Kungsbackaskogens Discgolfbana,Isabella Dreyer,6,5,3,Unknown
2025-12-23,Kungsbackaskogens Discgolfbana,Isabella Dreyer,7,4,3,Unknown
2025-12-23,Kungsbackaskogens Discgolfbana,Isabella Dreyer,8,4,3,Unknown
2025-12-23,Kungsbackaskogens Discgolfbana,Isabella Dreyer,9,5,3,Unknown
2025-12-20,Skatås Discgolf,kirderf,1,3,3,Unknown
2025-12-20,Skatås Discgolf,kirderf,2,4,3,Unknown
2025-12-20,Skatås Discgolf,kirderf,3,3,3,Unknown
2025-12-20,Skatås Discgolf,kirderf,4,4,3,Unknown
2025-12-20,Skatås Discgolf,kirderf,5,2,3,Unknown
2025-12-20,Skatås Discgolf,kirderf,6,3,3,Unknown
2025-12-20,Skatås Discgolf,kirderf,7,2,3,Unknown
2025-12-20,Skatås Discgolf,kirderf,8,3,3,Unknown
2025-12-20,Skatås Discgolf,kirderf,9,4,3,Unknown
2025-12-20,Skatås Discgolf,kirderf,10,3,3,Unknown
2025-12-20,Skatås Discgolf,kirderf,11,3,3,Unknown
2025-12-20,Skatås Discgolf,kirderf,12,2,3,Unknown
2025-12-20,Skatås Discgolf,kirderf,13,3,3,Unknown
2025-12-20,Skatås Discgolf,kirderf,14,3,3,Unknown
2025-12-20,Skatås Discgolf,Mattias,1,3,3,Unknown
2025-12-20,Skatås Discgolf,Mattias,2,5,3,Unknown
2025-12-20,Skatås Discgolf,Mattias,3,4,3,Unknown
2025-12-20,Skatås Discgolf,Mattias,4,7,3,Unknown
2025-12-20,Skatås Discgolf,Mattias,5,5,3,Unknown
2025-12-20,Skatås Discgolf,Mattias,6,3,3,Unknown
2025-12-20,Skatås Discgolf,Mattias,7,3,3,Unknown
2025-12-20,Skatås Discgolf,Mattias,8,3,3,Unknown
2025-12-20,Skatås Discgolf,Mattias,9,3,3,Unknown
2025-12-20,Skatås Discgolf,Mattias,10,3,3,Unknown
2025-12-20,Skatås Discgolf,Mattias,11,3,3,Unknown
2025-12-20,Skatås Discgolf,Mattias,12,4,3,Unknown
2025-12-20,Skatås Discgolf,Mattias,13,3,3,Unknown
2025-12-20,Skatås Discgolf,Mattias,14,4,3,Unknown
2025-12-20,Skatås Discgolf,Jenny,1,3,3,Unknown
2025-12-20,Skatås Discgolf,Jenny,2,4,3,Unknown
2025-12-20,Skatås Discgolf,Jenny,3,4,3,Unknown
2025-12-20,Skatås Discgolf,Jenny,4,7,3,Unknown
2025-12-20,Skatås Discgolf,Jenny,5,4,3,Unknown
2025-12-20,Skatås Discgolf,Jenny,6,4,3,Unknown
2025-12-20,Skatås Discgolf,Jenny,7,4,3,Unknown
2025-12-20,Skatås Discgolf,Jenny,8,4,3,Unknown
2025-12-20,Skatås Discgolf,Jenny,9,4,3,Unknown
2025-12-20,Skatås Discgolf,Jenny,10,4,3,Unknown
2025-12-20,Skatås Discgolf,Jenny,11,4,3,Unknown
2025-12-20,Skatås Discgolf,Jenny,12,5,3,Unknown
2025-12-20,Skatås Discgolf,Jenny,13,4,3,Unknown
2025-12-20,Skatås Discgolf,Jenny,14,4,3,Unknown
2025-12-20,Skatås Discgolf,Isabella Dreyer,1,3,3,Unknown
2025-12-20,Skatås Discgolf,Isabella Dreyer,2,4,3,Unknown
2025-12-20,Skatås Discgolf,Isabella Dreyer,3,5,3,Unknown
2025-12-20,Skatås Discgolf,Isabella Dreyer,4,6,3,Unknown
2025-12-20,Skatås Discgolf,Isabella Dreyer,5,4,3,Unknown
2025-12-20,Skatås Discgolf,Isabella Dreyer,6,4,3,Unknown
2025-12-20,Skatås Discgolf,Isabella Dreyer,7,4,3,Unknown
2025-12-20,Skatås Discgolf,Isabella Dreyer,8,4,3,Unknown
2025-12-20,Skatås Discgolf,Isabella Dreyer,9,4,3,Unknown
2025-12-20,Skatås Discgolf,Isabella Dreyer,10,3,3,Unknown
2025-12-20,Skatås Discgolf,Isabella Dreyer,11,3,3,Unknown
2025-12-20,Skatås Discgolf,Isabella Dreyer,12,4,3,Unknown
2025-12-20,Skatås Discgolf,Isabella Dreyer,13,4,3,Unknown
2025-12-20,Skatås Discgolf,Isabella Dreyer,14,3,3,Unknown
2025-12-19,Kungsbackaskogens Discgolfbana,Mattias,1,3,3,Unknown
2025-12-19,Kungsbackaskogens Discgolfbana,Mattias,2,3,3,Unknown
2025-12-19,Kungsbackaskogens Discgolfbana,Mattias,3,3,3,Unknown
2025-12-19,Kungsbackaskogens Discgolfbana,Mattias,4,3,3,Unknown
2025-12-19,Kungsbackaskogens Discgolfbana,Mattias,5,3,3,Unknown
2025-12-19,Kungsbackaskogens Discgolfbana,Mattias,6,3,3,Unknown
2025-12-19,Kungsbackaskogens Discgolfbana,Mattias,7,3,3,Unknown
2025-12-19,Kungsbackaskogens Discgolfbana,Mattias,8,3,3,Unknown
2025-12-19,Kungsbackaskogens Discgolfbana,Mattias,9,3,3,Unknown
2025-12-14,St Hans DGB,Mattias,1,4,3,Unknown
2025-12-14,St Hans DGB,Mattias,2,5,3,Unknown
2025-12-14,St Hans DGB,Mattias,3,4,3,Unknown
2025-12-14,St Hans DGB,Mattias,4,3,3,Unknown
2025-12-14,St Hans DGB,Mattias,5,5,3,Unknown
2025-12-14,St Hans DGB,Mattias,6,4,3,Unknown
2025-12-14,St Hans DGB,Mattias,7,3,3,Unknown
2025-12-14,St Hans DGB,Mattias,8,3,3,Unknown
2025-12-14,St Hans DGB,Mattias,9,3,3,Unknown
2025-12-14,St Hans DGB,Mattias,10,0,3,Unknown
2025-12-14,St Hans DGB,Mattias,11,0,3,Unknown
2025-12-14,St Hans DGB,Mattias,12,0,3,Unknown
2025-12-14,St Hans DGB,Mattias,13,0,3,Unknown
2025-12-14,St Hans DGB,Mattias,14,0,3,Unknown
2025-12-14,St Hans DGB,Mattias,15,0,3,Unknown
2025-12-14,St Hans DGB,Mattias,16,0,3,Unknown
2025-12-14,St Hans DGB,Mattias,17,0,3,Unknown
2025-12-14,St Hans DGB,Mattias,18,0,3,Unknown
2025-12-14,St Hans DGB,Jenny,1,4,3,Unknown
2025-12-14,St Hans DGB,Jenny,2,5,3,Unknown
2025-12-14,St Hans DGB,Jenny,3,4,3,Unknown
2025-12-14,St Hans DGB,Jenny,4,4,3,Unknown
2025-12-14,St Hans DGB,Jenny,5,6,3,Unknown
2025-12-14,St Hans DGB,Jenny,6,5,3,Unknown
2025-12-14,St Hans DGB,Jenny,7,3,3,Unknown
2025-12-14,St Hans DGB,Jenny,8,4,3,Unknown
2025-12-14,St Hans DGB,Jenny,9,3,3,Unknown
2025-12-14,St Hans DGB,Jenny,10,0,3,Unknown
2025-12-14,St Hans DGB,Jenny,11,0,3,Unknown
2025-12-14,St Hans DGB,Jenny,12,0,3,Unknown
2025-12-14,St Hans DGB,Jenny,13,0,3,Unknown
2025-12-14,St Hans DGB,Jenny,14,0,3,Unknown
2025-12-14,St Hans DGB,Jenny,15,0,3,Unknown
2025-12-14,St Hans DGB,Jenny,16,0,3,Unknown
2025-12-14,St Hans DGB,Jenny,17,0,3,Unknown
2025-12-14,St Hans DGB,Jenny,18,0,3,Unknown
2025-12-14,St Hans DGB,Isabella Dreyer,1,4,3,Unknown
2025-12-14,St Hans DGB,Isabella Dreyer,2,6,3,Unknown
2025-12-14,St Hans DGB,Isabella Dreyer,3,5,3,Unknown
2025-12-14,St Hans DGB,Isabella Dreyer,4,4,3,Unknown
2025-12-14,St Hans DGB,Isabella Dreyer,5,6,3,Unknown
2025-12-14,St Hans DGB,Isabella Dreyer,6,4,3,Unknown
2025-12-14,St Hans DGB,Isabella Dreyer,7,4,3,Unknown
2025-12-14,St Hans DGB,Isabella Dreyer,8,4,3,Unknown
2025-12-14,St Hans DGB,Isabella Dreyer,9,4,3,Unknown
2025-12-14,St Hans DGB,Isabella Dreyer,10,0,3,Unknown
2025-12-14,St Hans DGB,Isabella Dreyer,11,0,3,Unknown
2025-12-14,St Hans DGB,Isabella Dreyer,12,0,3,Unknown
2025-12-14,St Hans DGB,Isabella Dreyer,13,0,3,Unknown
2025-12-14,St Hans DGB,Isabella Dreyer,14,0,3,Unknown
2025-12-14,St Hans DGB,Isabella Dreyer,15,0,3,Unknown
2025-12-14,St Hans DGB,Isabella Dreyer,16,0,3,Unknown
2025-12-14,St Hans DGB,Isabella Dreyer,17,0,3,Unknown
2025-12-14,St Hans DGB,Isabella Dreyer,18,0,3,Unknown
2025-12-14,St Hans DGB,kirderf,1,3,3,Unknown
2025-12-14,St Hans DGB,kirderf,2,4,3,Unknown
2025-12-14,St Hans DGB,kirderf,3,3,3,Unknown
2025-12-14,St Hans DGB,kirderf,4,3,3,Unknown
2025-12-14,St Hans DGB,kirderf,5,4,3,Unknown
